Sl no.,Type,Company Name,Address
45,Petrol Pump,Bharat Petroleum Petrol Pump Chaltabagan,"128-130, Vivekananda Rd, Manicktala, Simla, Machuabazar, Kolkata, West Bengal 700006"
46,Petrol Pump,Indian Oil,"58, Diamond Harbour Rd, Mominpore, Kolkata, West Bengal 700023"
47,Petrol Pump,Mudiali Petrol Pump,"200T, Shyama Prasad Mukherjee Rd, Mudiali, Kalighat, Kolkata, West Bengal 700026"
48,Petrol Pump,HP,"92, Acharya Prafulla Chandra Rd, Garpar, Raja Bazar, Kolkata, West Bengal 700009"
49,Petrol Pump,Bharat Petroleum Petrol Pump,"120, CIT Rd, Paddapukur, Entally, Kolkata, West Bengal 700014"
50,Petrol Pump,Indian Oil Petrol Pump (A group of Sinha Petroleum),"I/10, Connector, Garia Park, Baishnabghata Patuli Twp, Garia, Kolkata, West Bengal 700084"
51,Petrol Pump,Lake Town Petrol Pump,"Khudiram Bose Rd, B Block, Green Park, Lake Town, Kolkata, West Bengal 700089"
52,Petrol Pump,,
53,Petrol Pump,HP PETROL PUMP - HOWRAH MOTORS & ELECTRIC COMPANY,"Bangabasi Cinema Hall, 5/C Mahatma Gandhi Road Howrah Maidan Near, Howrah Railway Station, Kolkata, West Bengal 711101"
54,Petrol Pump,HP Petrol Pump,"7, Grand Trunk Rd, Howrah Railway Station, Tikiapara, Howrah, West Bengal 711101"
55,Petrol Pump,%u09B8%u09C7%u09A8 %u09AA%u09C7%u099F%u09CD%u09B0%u09CB%u09B2 %u09AA%u09BE%u09AE%u09CD%u09AA,"34, Acharya Tulsi Marg, Mali Panchghara, Howrah, West Bengal 711106"
56,Petrol Pump,Bharat Petroleum  Petrol Pump -Makin Bros.,"BONBEHARI BOSE RD.,HOWRAH, Howrah, West Bengal 711101"
57,Petrol Pump,Bharat Petroleum,"97/1, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102"
58,Petrol Pump,Bharat Petroleum Petrol Pump -Aparna Energy Station,"KONA EXP. II, Howrah, West Bengal 711104"
59,Petrol Pump,Bharat Petroleum  Petrol Pump -Radha S/S,"DR.ABANI DUTTA RD.,HOWRAH, Howrah, West Bengal 711101"
60,Petrol Pump,Manu Filling Station,"67, Benaras Rd, Bamangachi, Salkia, Howrah, West Bengal 711101"
61,Petrol Pump,Hindustan Petroleum Petrol Pump,"103, 1A, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102"
62,Petrol Pump,Mishra Service Station,"1/1, Duke Road, Choura Bustee, Shibpur, Howrah, West Bengal 711102"
63,Petrol Pump,HP Petrol pump,"52/1, Deshapran Shasmal Rd, Kadam Tala, Howrah, West Bengal 711101"
64,Petrol Pump,Indian Oil Petrol Pump - Maidan Service Station,"5k, Mahatma Gandhi Rd, Howrah Railway Station, Kadam Tala, Howrah, West Bengal 711101"
65,Petrol Pump,Indian Oil Petrol Pump,"226-227, Grand Trunk Rd, Naora, Shibpur, Howrah, West Bengal 711102"
66,Petrol Pump,Hindustan Petroleum Petrol Pump,"10, Maulana Abul Kalam Azad Rd, Gulmohar, Mali Panchghara, Howrah, West Bengal 711105"
67,Petrol Pump,Eseem Service Station,"135, 2, Dr Abani Dutta Rd, Mali Panchghara, Howrah, West Bengal 711106"
68,Petrol Pump,HP PETROL PUMP - PRATAP SERVICE STATION,"103/ Howrah, 21, Upper Foreshore Rd, Choura Bustee, Shibpur, Kolkata, West Bengal 711101"
69,Petrol Pump,New Sushil road lines,"1/1, 2, duke road, near Mishra petrol pump, Choura Bustee, Shibpur, Howrah, West Bengal 711102"
70,Petrol Pump,Gauriyo Moth Petrol Pump,"Netaji Subhash Rd, Bantra, Ichapur, Howrah, West Bengal 711104"
71,Petrol Pump,Bharat Petroleum - Balaji Enterprise,"94, Benaras Rd, Bamangachi, Salkia, Howrah, West Bengal 711106"
72,Petrol Pump,Hp Petrol pump,"135, 1, Babudanga, Mali Panchghara, Howrah, West Bengal 711106"
73,Petrol Pump,HP PETROL PUMP - LAKSHMI AUTOMOBILE STORES,"2 West Bengal, 126, Narasingha Dutta Rd, Bantra, Ichapur, Kolkata, West Bengal 711101"
74,Petrol Pump,BPCL Petrol Pump -Grewal Auto Service,"97/1, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102"
75,Petrol Pump,Mh Filling Centre,"14, 14, Kona Expy, Belepole, Chatterjihat, Shibpur, Howrah, West Bengal 711104"
76,Petrol Pump,Petrol Pump,"3, Billiards Rd, Howrah Railway Station, Kadam Tala, Howrah, West Bengal 711101"
77,Petrol Pump,Indian Oil Petroleum,"H8JM+H3M, Howrah Railway Station, Howrah, West Bengal 711101"
78,Petrol Pump,Indian Oil Petrol Pump,"1/2 lakshmi narayan talla, Andul Rd, Shalimar, Howrah, West Bengal 711103"
79,Petrol Pump,Sur Petrol Pump,"109, Grand Trunk Rd, Belur, Liluah, Howrah, West Bengal 711204"
80,Petrol Pump,HP PETROL PUMP - KANAK SERVICE STATION,"Biplabi Haren Ghosh Biplabi Haren Ghosh West Bengal, Grand Trunk Rd, %u0938%u093E%u0930%u0923%u0940, Bagmari, Kolkata, West Bengal 711101"
81,Petrol Pump,Bharat Petroleum  Petrol Pump -Harisadhan Service Station,"31/1SHAIKPARA LANE SHIBPUR, Howrah, West Bengal 711104"
82,Petrol Pump,Bharat Petroleum  Petrol Pump -Manada Motors Serv.,"314,GT ROAD(NORTH),HOWRAH, Howrah, West Bengal 711106"
83,Petrol Pump,Bhawani petrol pump belgachhia,"P/61, Benaras Rd, Belgachia, Liluah, Howrah, West Bengal 711108"
84,Petrol Pump,Indian Oil Petrol Pump,"P.S. CHATTERJEEHAT, 119, MB Rd, Santragachi, Ichapur, Howrah, West Bengal 711104"
85,Petrol Pump,Karunamoyee Service,"SH6, Shalimar, Howrah, West Bengal 711103"
86,Petrol Pump,BPCL Retail Outlet,"Kona Expy, Shibpur, Howrah, West Bengal 711101"
87,Petrol Pump,Notun Rasta Petrol Pump,"Dr Bholanath Chakraborty Sarani, Bantra, Shibpur, Howrah, West Bengal 711104"
88,Petrol Pump,Jaunpur Service Station,"194/1, Grand Trunk Road, Salkia, Howrah, West Bengal 711106"
89,Petrol Pump,Kalikundu Lane Petrol Pump,"Netaji Subhash Rd, Kadam Tala, Howrah, West Bengal 711101"
90,Petrol Pump,HP Petrol Pump  Bakultala Motor Stores,"Botanical Garden Road, 15, Andul Rd, Opposite of, New Gate, Howrah, West Bengal 711109"
91,Petrol Pump,HP Petrol Pump Auto Care Centre - Mourigram,"Panchpara, Andul Rd, Mourigram, Howrah, West Bengal 711317"
92,Petrol Pump,Indian Oil Petrol Pump & Service Centre (Anila Service Station),"14, 14, Kona Expy, Chatterjihat, Shibpur, Howrah, West Bengal 711104"
93,Petrol Pump,Bakul Tala Motor Stores (HPCL PETROL PUMP),"Andul Road Panchpara Howrah, Howrah Panchpara, West Bengal 711317"
94,Petrol Pump,Indian Oil - Akashmoni Tours and Travels,"304, Grand Trunk Rd, Kazipada, Shibpur, Howrah, West Bengal 711103"
95,Petrol Pump,BALITIKURI PETROL PUMP,"J822+HX3, Natun Pally, Surkimill, Balitikuri, Howrah, West Bengal 711113"
96,Petrol Pump,Petrol pump,"302, Naora, Shibpur, Howrah, West Bengal 711102"
97,Petrol Pump,Badamtalla Petrol Pump,"Grand Trunk Rd, Belur, Bally, Howrah, West Bengal 711201"
98,Petrol Pump,HP PETROL PUMP - STANDARD AUTO SERVICE,"Howrah, 212, Grand Trunk Rd, Pilkhana, Salkia, Kolkata, West Bengal 711107"
99,Petrol Pump,Bhabani Service Station-Bharat Petroleum,"42, Benaras Rd, Kunjapara, Belgachia, Dasnagar, Howrah, West Bengal 711105"
100,Petrol Pump,Spice Gas LPG,"Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711101"
101,Petrol Pump,Bharat Petroleum  Petrol Pump -Karunamoyee Service,"ANDUL ROAD, HOWRAH, Howrah, West Bengal 711103"
102,Petrol Pump,Kona Filling Station,"khaliya, Benaras Rd, Chamrail, Howrah, West Bengal 711114"
103,Petrol Pump,HP PETROL PUMP SM FILLING CENTER,"Ekshara, Benaras Rd, near mm weigh bridge, Howrah, West Bengal 711114"
104,,,
105,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
106,Electric vehicle charging station,Electric Vehicle Charging Station,"1, Chittaranjan Ave, %u090F%u0938%u094D%u092A%u0932%u0947%u0928%u0947%u0921, %u091A%u094B%u0935%u094D%u0930%u093F%u0928%u094D%u0918%u0940 %u0928%u0949%u0930%u094D%u0925, %u092C%u094B %u092C%u0948%u0930%u0915%u094D%u0938, %u0915%u094B%u0932%u0915%u093E%u0924%u093E, %u092A%u0936%u094D%u091A%u093F%u092E %u092C%u0902%u0917%u093E%u0932 700072"
107,Electric vehicle charging station,Electrical Vehicle Charging Station,"Indian Oil Bhavan 2, Gariahat Rd, Jodhpur Park, Kolkata, West Bengal 700068"
108,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
109,Electric vehicle charging station,Electric Vehicle Charging Station,"P54, Hide Rd, Tikiapara, Garden Reach, Kolkata, West Bengal 700043"
110,Electric vehicle charging station,Tata Charging Station,"43, Jawaharlal Nehru Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071"
111,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
112,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
113,Electric vehicle charging station,Electric Vehicle Charging Station,"26, Alipur Rd, Alipore, Kolkata, West Bengal 700027"
114,Electric vehicle charging station,Electric Vehicle Charging Station,"G78H+32G, Rampur, Santoshpur, Kolkata, West Bengal 700088"
115,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
116,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
117,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
118,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
119,Electric vehicle charging station,Electric Vehicle Charging Station,"No.1, Sourin Roy Rd, Diamond Harbour Rd, Behala, Kolkata, West Bengal 700034"
120,Electric vehicle charging station,TATA Charging Station,"707, Jadu Colony, Sarada Pally, Kolkata, West Bengal 700034"
121,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
122,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
123,Electric vehicle charging station,Hero Electric Charging Station,"188/1, Block - J, New Alipore, Kolkata, West Bengal 700038"
124,Electric vehicle charging station,Hero Electric Charging Station,"23/A, Diamond Harbour Road, New Alipore, Kolkata, West Bengal 700088"
125,Electric vehicle charging station,Electric Vehicle Charging Station,"Malancha Housing, Action Area IIB, Rekjuani, Kolkata, West Bengal 700135"
